name,online_order,book_table,rate,votes,location,rest_type,cost_for_two_people
The Chaat Shop,True,False,2.0,35,Basavanagudi,Quick Bites,200
Anda Ka Funda,True,False,3.4,89,Jayanagar,Quick Bites,250
Shri Vinayaka Ice N Juice,True,False,3.2,11,Basavanagudi,Quick Bites,150
My Tea House,True,False,3.6,62,Banashankari,"Quick Bites, Cafe",600
Ibaco,True,False,3.9,33,Jayanagar,Dessert Parlor,300
Jalaram Sweets,True,False,3.8,32,Jayanagar,Sweet Shop,250
Samskruti - Sanman Gardenia,True,False,4.1,139,Jayanagar,Casual Dining,550
Bendakaluru Bytes,True,False,3.2,154,Vijay Nagar,Quick Bites,300
Cocoa Bakes,True,False,3.6,14,Banashankari,Bakery,350
Chumma Delicious,True,False,3.7,237,Banashankari,Quick Bites,200
New Prashanth Hotel,True,False,3.9,388,Banashankari,Casual Dining,650
Dwaraka Grand,True,False,3.9,128,Kumaraswamy Layout,Casual Dining,500
Gufha - The President Hotel,True,True,4.1,1875,Jayanagar,Casual Dining,1200
Cafe Vivacity,True,False,3.8,90,Banashankari,Cafe,650
Tanna's Kitchen,True,False,3.1,7,Kumaraswamy Layout,Quick Bites,250
Shree Mandarathi Grand,True,False,3.7,38,Uttarahalli,Casual Dining,400
Mojo Pizza - 2X Toppings,True,False,4.2,179,Banashankari,Delivery,600
Iceberg Icecreams,True,False,4.0,43,Basavanagudi,Dessert Parlor,250
South Kitchen,True,False,4.3,275,Basavanagudi,Quick Bites,100
Chung Wah,True,False,3.7,323,Jayanagar,Casual Dining,850
Shanthi Sagar,True,False,3.1,28,Uttarahalli,Casual Dining,400
Millet Mama,True,False,3.9,18,Basavanagudi,Quick Bites,200
Bangarpet Chat Express,True,False,3.3,6,Basavanagudi,Quick Bites,100
Prems Graama Bhojanam,True,False,4.3,322,Jayanagar,Casual Dining,400
Java City,True,False,2.6,157,Jayanagar,Cafe,450
Kamat Bugle Rock,True,False,3.9,543,Basavanagudi,Quick Bites,300
Woodee Pizza,True,False,3.7,180,Banashankari,Cafe,500
Puliyogare Point,True,False,4.2,444,Basavanagudi,Quick Bites,100
Bangalore Agarwal Bhavan,True,False,3.9,134,Jayanagar,Quick Bites,400
Rustic Stove,True,False,3.8,577,Jayanagar,Casual Dining,900
Udupi Ruchi Grand,True,False,4.2,60,Banashankari,Quick Bites,200
De Thaali,True,False,3.9,144,Jayanagar,Casual Dining,550
Spice Elephant,True,False,4.1,787,Banashankari,Casual Dining,800
Just Thindi,True,False,3.6,16,Basavanagudi,Quick Bites,200
Matru Sagar,True,False,3.6,84,Banashankari,Quick Bites,250
Vasanth Vihar - Since 1965,True,False,3.6,95,Banashankari,Quick Bites,150
Sea Spice by 7 Star,True,True,4.0,349,Banashankari,Casual Dining,1200
Desi Dawat,True,False,3.7,248,Kumaraswamy Layout,Quick Bites,400
Cafe Aira,True,False,4.1,216,Basavanagudi,Cafe,500
Penthouse Cafe,True,False,4.0,324,Banashankari,Cafe,700
Mast Punjabi,True,False,2.6,231,Kumaraswamy Layout,Quick Bites,400
South Grand,True,False,3.4,102,Uttarahalli,Casual Dining,400
Catch-up-ino,True,False,3.9,133,Banashankari,Cafe,800
The Pizzeria,True,False,2.8,45,Banashankari,Casual Dining,800
Cafe Zone,True,False,3.9,149,Kumaraswamy Layout,Quick Bites,300
Ruchis Point,True,False,3.8,75,Banashankari,Quick Bites,200
Firangi Bake,True,False,4.0,53,Rajarajeshwari Nagar,Delivery,600
The Royal Corner - Pai Viceroy,True,True,4.2,815,Jayanagar,Casual Dining,900
Hara Fine Dine,True,True,4.0,633,Banashankari,Casual Dining,800
Chocoberry,True,False,3.0,56,Jayanagar,Dessert Parlor,400
Dakshin Grand,True,False,3.0,82,Banashankari,Quick Bites,300
Sandwichwallas,True,False,3.7,35,Jayanagar,Quick Bites,200
Chai Mane,True,False,3.6,20,Basavanagudi,Quick Bites,150
SLV Upachar,True,False,3.1,14,Kumaraswamy Layout,Quick Bites,250
Waffle-A-Go Go,True,False,3.9,70,Banashankari,Dessert Parlor,400
Cross Road Cafe,True,False,3.9,91,Jayanagar,Cafe,300
Anand Donne Biriyani,True,False,3.6,45,Jayanagar,Quick Bites,200
Seven Star,True,False,3.4,7,Banashankari,Quick Bites,250
Stop 'N' Joy,True,False,3.8,28,Banashankari,Quick Bites,150
Sri Yaksha Shiv Sagar,True,False,3.6,24,Banashankari,Casual Dining,600
Fudge,True,False,3.8,36,Basavanagudi,Dessert Parlor,200
Just Bunny,True,False,3.0,11,Jayanagar,Quick Bites,200
Bakers Town,True,False,3.8,77,Kumaraswamy Layout,Cafe,650
Shree Mahalakshmi Sweets,True,False,3.2,8,Banashankari,Sweet Shop,100
Kaapi Kendra,True,False,3.7,14,Jayanagar,Quick Bites,100
Ivy,True,False,3.8,210,Kumaraswamy Layout,Casual Dining,600
The Airos,True,False,4.1,130,Jayanagar,Cafe,650
Chai Kraft,True,False,4.1,30,Jayanagar,Beverage Shop,100
Kirthi's Biryani,True,False,3.8,144,Banashankari,Cafe,700
South Point Pub,True,False,3.4,11,Basavanagudi,Bar,800
The Trundle,True,False,3.7,133,Jayanagar,Casual Dining,700
The Krishna Grand Xpress,True,False,4.0,136,Jayanagar,Quick Bites,350
Sri Krishna Darshini,True,False,3.1,4,Basavanagudi,Quick Bites,200
Shringar Sweets & Snacks,True,False,3.0,11,Basavanagudi,"Sweet Shop, Quick Bites",200
Udupi Grand,True,False,3.8,74,Basavanagudi,Quick Bites,300
Ganesh Grand,True,False,3.7,30,Basavanagudi,Quick Bites,300
Shreyas Upahar & Burger Point,True,False,3.0,7,Basavanagudi,Quick Bites,200
Coffee Tindi,True,False,3.8,75,Banashankari,"Cafe, Quick Bites",200
Little Cafe,True,False,3.7,54,Basavanagudi,Cafe,600
Mumbai Badam Milk & Lassi Center,True,False,3.6,23,Basavanagudi,Kiosk,100
Sri Krishna Sagar,True,False,3.2,119,Banashankari,Casual Dining,400
Mylari Biryani Family Restaurant,True,False,3.7,73,Banashankari,Quick Bites,400
1980s Games Cafe,True,False,3.4,58,Basavanagudi,Cafe,400
Kadala Tarangaa,True,False,3.6,129,Banashankari,Casual Dining,600
Namma Biryani,True,False,3.6,24,Banashankari,Quick Bites,250
Nandhanu's Rasoi,True,False,3.0,175,Kumaraswamy Layout,Quick Bites,400
Hotel Pork Paradise,True,False,3.7,21,Mysore Road,Quick Bites,300
As On Fire,True,False,3.0,41,South Bangalore,Food Truck,400
J K Fish Land,True,False,3.6,35,Jayanagar,Quick Bites,300
Curry Leaves,True,False,4.1,176,Basavanagudi,Casual Dining,800
Lassi Shop,True,False,3.0,45,Banashankari,Beverage Shop,300
Magic Meals,True,False,3.7,47,Jayanagar,"Quick Bites, Dessert Parlor",400
Desi Cream Junction,True,True,3.7,36,Jayanagar,Casual Dining,650
Drunken Monkey,True,False,3.8,52,Kumaraswamy Layout,"Beverage Shop, Quick Bites",400
Ruchi's Corner,True,False,2.7,123,Banashankari,Quick Bites,200
Tandoori Bytes,True,False,3.6,59,Kumaraswamy Layout,Casual Dining,700
Bangalore Donne Biriyani,True,False,3.2,4,Kumaraswamy Layout,Quick Bites,300
SGS Non Veg - Gundu Pulav,True,False,3.8,101,Banashankari,Quick Bites,400
Keventers,True,False,3.7,54,Banashankari,"Beverage Shop, Dessert Parlor",400
Navi Food Point,True,False,3.6,22,Basavanagudi,Quick Bites,200
Shawarma Inc,True,False,3.1,31,Banashankari,Takeaway,250
The Cafe Nuts and Bolts,True,False,3.0,29,Kumaraswamy Layout,Cafe,500
AM WOW,True,False,3.4,6,Jayanagar,Beverage Shop,100
Lalbagh Grand,True,False,3.0,22,Basavanagudi,Quick Bites,250
Funjabi Curries,True,False,2.9,11,Banashankari,Quick Bites,500
Eat Repeat,True,False,3.9,101,Basavanagudi,Quick Bites,150
Salut,True,True,4.1,442,Jayanagar,"Pub, Casual Dining",1200
Nammura Donne Biriyani,True,False,3.0,155,Basavanagudi,Quick Bites,400
Lassi Stop,True,False,3.4,12,Banashankari,"Beverage Shop, Quick Bites",150
Dakshin Kitchen,True,False,3.6,15,Basavanagudi,Quick Bites,100
Sri Sai Cafe,True,False,3.0,10,Basavanagudi,Quick Bites,200
Sri Sai 99 Variety Dosa,True,False,3.8,25,Banashankari,Quick Bites,300
Utsav Restaurant,True,False,3.8,61,Banashankari,Quick Bites,300
Crunch and Munch,True,False,3.7,23,Uttarahalli,Quick Bites,300
Food Geek,True,False,3.8,25,Basavanagudi,Quick Bites,350
Sri Krishna Aramane,True,False,3.7,40,Kumaraswamy Layout,Quick Bites,200
Great Indian Rolls,True,False,3.3,4,Basavanagudi,Quick Bites,100
Chats Point,True,False,3.4,8,Basavanagudi,Quick Bites,150
Food Point,True,False,3.0,32,Kumaraswamy Layout,Quick Bites,300
Swarga Ruchi,True,False,3.3,10,Basavanagudi,Quick Bites,200
Kolkata King,True,False,3.4,6,Basavanagudi,Quick Bites,300
Sandwich Mama's And Frozen Monster,True,False,3.8,53,Jayanagar,Quick Bites,250
New Rajadhani Spicy,True,False,3.7,67,Kumaraswamy Layout,Casual Dining,700
Big Mishra Pedha,True,False,2.9,23,Jayanagar,Sweet Shop,250
VEGeatz,True,False,3.4,19,Banashankari,Quick Bites,200
Foodizo,True,False,3.6,24,Banashankari,Quick Bites,300
Food Springs,True,False,4.0,232,Jayanagar,Quick Bites,400
Chung's Chinese Corner,True,False,3.9,221,Jayanagar,Casual Dining,700
Eurasia Pasta and Barbeque by Little Italy,True,True,4.1,1063,Jayanagar,"Casual Dining, Bar",1200
Goli Vada Pav No. 1,True,False,3.7,93,Basavanagudi,Quick Bites,200
Ragoo's,True,False,3.9,233,Jayanagar,Casual Dining,800
Pure & Natural,True,False,3.9,211,Jayanagar,Casual Dining,500
Maiyas,True,False,4.0,1778,Jayanagar,Quick Bites,200
Sip n Dine,True,False,3.6,218,Vijay Nagar,Casual Dining,800
Cafe Mondo,True,False,3.7,514,Basavanagudi,Cafe,600
Jalpaan,True,True,4.0,866,Jayanagar,Casual Dining,900
Kataria's Pakwan,True,False,3.2,96,Kumaraswamy Layout,Quick Bites,400
Juicy Momos,True,False,3.0,80,Banashankari,Quick Bites,250
Amande Patisserie,True,False,4.0,73,Basavanagudi,Bakery,300
Anand Sweets and Savouries,True,False,3.9,84,Jayanagar,Sweet Shop,400
Chicken Hunt,True,False,3.0,88,Banashankari,Quick Bites,350
Swadesh Tadka,True,False,3.0,179,Banashankari,Casual Dining,600
Cane-O-La,True,False,3.8,61,Basavanagudi,Quick Bites,100
New Biryani Mane,True,False,3.7,128,Uttarahalli,Casual Dining,450
Upahara Darshini,True,False,3.8,339,Jayanagar,Quick Bites,400
Karnataka Bhel House,True,False,4.1,449,Basavanagudi,Quick Bites,100
Sreeraj Lassi Bar,True,False,4.1,210,Jayanagar,"Dessert Parlor, Beverage Shop",150
Juice Junction Food Court,True,False,3.7,57,Basavanagudi,Quick Bites,200
Bunt's Biriyani Palace,True,False,3.0,213,Banashankari,Quick Bites,400
Chai Point,True,False,3.2,208,Jayanagar,"Beverage Shop, Quick Bites",250
Janahaar,True,False,3.8,70,Banashankari,Quick Bites,100
Redberrys,True,False,4.0,219,Basavanagudi,Cafe,600
Utsav,True,False,3.7,59,Banashankari,Quick Bites,200
Meat And Eat,True,False,3.1,10,Banashankari,Quick Bites,500
Snacks Bite,True,False,3.0,9,Kumaraswamy Layout,Quick Bites,400
The Spice Saga,True,False,3.7,124,Kumaraswamy Layout,Casual Dining,750
Dakshin Cafe,True,False,3.7,19,Kumaraswamy Layout,Quick Bites,100
